drug_code_1,drug_name_1,material_en_1,drug_code_2,drug_name_2,material_en_2,excel_inn_1,excel_inn_2,contraind_info,contraind_note
K-031863,아질렉트정(라사길린메실산염),Rasagiline Mesylate,K-027926,울트라셋이알서방정,Acetaminophen| Tramadol Hydrochloride,rasagiline,tramadol,"고혈압위기, 세로토닌증후군 발생 위험 증가",  
K-024941,액티프롤정 60mg/PTP,Pseudoephedrine Hydrochloride| Triprolidine Hydrochloride Hydrate,K-031863,아질렉트정(라사길린메실산염),Rasagiline Mesylate,pseudoephedrine,rasagiline,"고혈압, 빈맥 유발",
